,release_date,movie,production_budget,domestic_gross,year,month,title_year,title,studio,return,primary_name,primary_title,genres,movie_id,bucket,scaled_value,bucket_low,bucket_high,bucket_mean
1,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,2011,5,Pirates of the Caribbean: On Stranger Tides2011,Pirates of the Caribbean: On Stranger Tides,BV,0.5871014978080857,,,,,4,5.0,66000000.0,410600000.0,1.1712381905823133
3,2015-05-01,Avengers: Age of Ultron,330600000,459005868,2015,5,Avengers: Age of Ultron2015,Avengers: Age of Ultron,BV,1.388402504537205,Kevin Feige,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",tt2395427,4,4.767846778874057,66000000.0,410600000.0,1.1712381905823133
4,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,2017,12,Star Wars Ep. VIII: The Last Jedi2017,,,1.95640814511041,,,,,4,4.7283807312826465,66000000.0,410600000.0,1.1712381905823133
5,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,2015,12,Star Wars Ep. VII: The Force Awakens2015,,,3.0609876633986928,,,,,4,4.696459663377829,66000000.0,410600000.0,1.1712381905823133
6,2018-04-27,Avengers: Infinity War,300000000,678815482,2018,4,Avengers: Infinity War2018,Avengers: Infinity War,BV,2.2627182733333333,,,,,4,4.679048171793384,66000000.0,410600000.0,1.1712381905823133
8,2017-11-17,Justice League,300000000,229024295,2017,11,Justice League2017,Justice League,WB,0.7634143166666667,,,,,4,4.679048171793384,66000000.0,410600000.0,1.1712381905823133
9,2015-11-06,Spectre,300000000,200074175,2015,11,Spectre2015,Spectre,Sony,0.6669139166666667,,,,,4,4.679048171793384,66000000.0,410600000.0,1.1712381905823133
10,2012-07-20,The Dark Knight Rises,275000000,448139099,2012,7,The Dark Knight Rises2012,The Dark Knight Rises,WB,1.6295967236363635,Emma Thomas,The Dark Knight Rises,"Action,Thriller",tt1345836,4,4.606500290191526,66000000.0,410600000.0,1.1712381905823133
12,2018-05-25,Solo: A Star Wars Story,275000000,213767512,2018,5,Solo: A Star Wars Story2018,Solo: A Star Wars Story,BV,0.7773364072727272,Kathleen Kennedy,Solo: A Star Wars Story,"Action,Adventure,Fantasy",tt3778644,4,4.606500290191526,66000000.0,410600000.0,1.1712381905823133
14,2013-07-02,The Lone Ranger,275000000,89302115,2013,7,The Lone Ranger2013,The Lone Ranger,BV,0.3247349636363636,Jerry Bruckheimer,The Lone Ranger,"Action,Adventure,Western",tt1210819,4,4.606500290191526,66000000.0,410600000.0,1.1712381905823133
15,2012-03-09,John Carter,275000000,73058679,2012,3,John Carter2012,John Carter,BV,0.26566792363636366,Jim Morris,John Carter,"Action,Adventure,Sci-Fi",tt0401729,4,4.606500290191526,66000000.0,410600000.0,1.1712381905823133
17,2010-11-24,Tangled,260000000,200821936,2010,11,Tangled2010,Tangled,BV,0.7723920615384615,Roy Conli,Tangled,"Adventure,Animation,Comedy",tt0398286,4,4.5629715612304125,66000000.0,410600000.0,1.1712381905823133
