,,release_date,movie,production_budget,domestic_gross,year,month,title_year,title,studio,primary_name,primary_title,genres,movie_id,return,percent_return,bucket,scaled_value,bucket_low,bucket_high,bucket_mean
HighProducer,48,2010-05-14,Robin Hood,210000000,105487148,2010,5,Robin Hood2010,Robin Hood,Uni.,Brian Grazer,Robin Hood,"Action,Adventure,Drama",tt0955308,-104512852,0.5023197523809524,4,4.417875798026698,66000000.0,410600000.0,22911648.3942029
HighProducer,151,2014-07-11,Dawn of the Planet of the Apes,170000000,208545589,2014,7,Dawn of the Planet of the Apes2014,Dawn of the Planet of the Apes,Fox,Peter Chernin,Dawn of the Planet of the Apes,"Action,Adventure,Drama",tt2103281,38545589,1.2267387588235295,4,4.301799187463726,66000000.0,410600000.0,22911648.3942029
HighProducer,197,2017-07-14,War for the Planet of the Apes,152000000,146880162,2017,7,War for the Planet of the Apes2017,War for the Planet of the Apes,Fox,Peter Chernin,War for the Planet of the Apes,"Action,Adventure,Drama",tt3450958,-5119838,0.9663168552631579,4,4.249564712710389,66000000.0,410600000.0,22911648.3942029
HighProducer,244,2010-02-12,The Wolfman,150000000,62189884,2010,2,The Wolfman2010,The Wolfman,Uni.,Scott Stuber,The Wolfman,"Drama,Fantasy,Horror",tt0780653,-87810116,0.41459922666666665,4,4.24376088218224,66000000.0,410600000.0,22911648.3942029
HighProducer,271,2013-03-27,G.I. Joe: Retaliation,140000000,122523060,2013,3,G.I. Joe: Retaliation2013,G.I. Joe: Retaliation,Par.,Lorenzo di Bonaventura,G.I. Joe: Retaliation,"Action,Adventure,Sci-Fi",tt1583421,-17476940,0.8751647142857143,4,4.2147417295414975,66000000.0,410600000.0,22911648.3942029
HighProducer,275,2014-12-12,Exodus: Gods and Kings,140000000,65014513,2014,12,Exodus: Gods and Kings2014,Exodus: Gods and Kings,Fox,Peter Chernin,Exodus: Gods and Kings,"Action,Adventure,Drama",tt1528100,-74985487,0.4643893785714286,4,4.2147417295414975,66000000.0,410600000.0,22911648.3942029
HighProducer,317,2010-07-23,Salt,130000000,118311368,2010,7,Salt2010,Salt,Sony,Lorenzo di Bonaventura,Salt,"Action,Mystery,Thriller",tt0944835,-11688632,0.9100874461538462,4,4.185722576900755,66000000.0,410600000.0,22911648.3942029
HighProducer,357,2018-07-13,Skyscraper,125000000,68420120,2018,7,Skyscraper2018,Skyscraper,Uni.,Beau Flynn,Skyscraper,"Action,Adventure,Thriller",tt5758778,-56579880,0.54736096,4,4.171213000580383,66000000.0,410600000.0,22911648.3942029
HighProducer,373,2018-04-13,Rampage,120000000,101028233,2018,4,Rampage2018,,,Beau Flynn,Rampage,"Action,Adventure,Sci-Fi",tt2231461,-18971767,0.8419019416666667,4,4.156703424260011,66000000.0,410600000.0,22911648.3942029
HighProducer,389,2010-06-23,Knight and Day,117000000,76423035,2010,6,Knight and Day2010,,,Todd Garner,Knight and Day,"Action,Adventure,Comedy",tt1013743,-40576965,0.6531883333333334,4,4.147997678467789,66000000.0,410600000.0,22911648.3942029
HighProducer,410,2015-05-29,San Andreas,110000000,155190832,2015,5,San Andreas2015,San Andreas,WB (NL),Beau Flynn,San Andreas,"Action,Adventure,Drama",tt2126355,45190832,1.4108257454545454,4,4.127684271619269,66000000.0,410600000.0,22911648.3942029
HighProducer,420,2016-12-21,Passengers,110000000,100014699,2016,12,Passengers2016,,,Neal H. Moritz,Passengers,"Drama,Romance,Sci-Fi",tt1355644,-9985301,0.9092245363636363,4,4.127684271619269,66000000.0,410600000.0,22911648.3942029
HighProducer,424,2011-01-14,The Green Hornet,110000000,98780042,2011,1,The Green Hornet2011,The Green Hornet,Sony,Neal H. Moritz,The Green Hornet,"Action,Comedy,Crime",tt0990407,-11219958,0.8980003818181819,4,4.127684271619269,66000000.0,410600000.0,22911648.3942029
HighProducer,521,2015-12-11,In the Heart of the Sea,100000000,25020758,2015,12,In the Heart of the Sea2015,In the Heart of the Sea,WB,Brian Grazer,In the Heart of the Sea,"Action,Adventure,Biography",tt1390411,-74979242,0.25020758,4,4.098665118978526,66000000.0,410600000.0,22911648.3942029
HighProducer,567,2013-02-14,A Good Day to Die Hard,92000000,67349198,2013,2,A Good Day to Die Hard2013,A Good Day to Die Hard,Fox,Wyck Godfrey,A Good Day to Die Hard,"Action,Thriller",tt1606378,-24650802,0.7320565,4,4.075449796865931,66000000.0,410600000.0,22911648.3942029
HighProducer,647,2012-02-10,Safe House,85000000,126181630,2012,2,Safe House2012,Safe House,Uni.,Scott Stuber,Safe House,"Action,Adventure,Crime",tt1599348,41181630,1.4844897647058823,4,4.055136390017411,66000000.0,410600000.0,22911648.3942029
HighProducer,655,2012-03-30,Mirror Mirror,85000000,64935167,2012,3,Mirror Mirror2012,Mirror Mirror,Rela.,Ryan Kavanaugh,Mirror Mirror,"Adventure,Comedy,Drama",tt1667353,-20064833,0.7639431411764706,4,4.055136390017411,66000000.0,410600000.0,22911648.3942029
HighProducer,683,2013-07-19,RED 2,84000000,53262560,2013,7,RED 22013,,,Lorenzo di Bonaventura,RED 2,"Action,Comedy,Crime",tt1821694,-30737440,0.6340780952380952,4,4.052234474753337,66000000.0,410600000.0,22911648.3942029
HighProducer,776,2012-02-10,Journey 2: The Mysterious Island,79000000,103860290,2012,2,Journey 2: The Mysterious Island2012,Journey 2: The Mysterious Island,WB (NL),Beau Flynn,Journey 2: The Mysterious Island,"Action,Adventure,Comedy",tt1397514,24860290,1.3146872151898734,4,4.037724898432966,66000000.0,410600000.0,22911648.3942029
HighProducer,777,2011-11-11,Jack and Jill,79000000,74158157,2011,11,Jack and Jill2011,Jack and Jill,Sony,Todd Garner,Jack and Jill,Comedy,tt0810913,-4841843,0.9387108481012658,4,4.037724898432966,66000000.0,410600000.0,22911648.3942029
HighProducer,836,2016-10-28,Inferno,75000000,34343574,2016,10,Inferno2016,Inferno,Sony,Brian Grazer,Inferno,"Action,Adventure,Crime",tt3062096,-40656426,0.45791432,4,4.026117237376669,66000000.0,410600000.0,22911648.3942029
HighProducer,894,2014-10-10,Dracula Untold,70000000,55991880,2014,10,Dracula Untold2014,Dracula Untold,Uni.,Michael De Luca,Dracula Untold,"Action,Drama,Fantasy",tt0829150,-14008120,0.799884,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
HighProducer,898,2011-01-14,The Dilemma,70000000,48475290,2011,1,The Dilemma2011,The Dilemma,Uni.,Brian Grazer,The Dilemma,"Comedy,Drama",tt1578275,-21524710,0.6925041428571429,4,4.011607661056297,66000000.0,410600000.0,22911648.3942029
HighProducer,936,2010-06-30,The Twilight Saga: Eclipse,68000000,300531751,2010,6,The Twilight Saga: Eclipse2010,The Twilight Saga: Eclipse,Sum.,Wyck Godfrey,The Twilight Saga: Eclipse,"Adventure,Drama,Fantasy",tt1325004,232531751,4.419584573529412,4,4.005803830528149,66000000.0,410600000.0,22911648.3942029
HighProducer,986,2012-05-16,The Dictator,65000000,59650222,2012,5,The Dictator2012,The Dictator,Par.,Scott Rudin,The Dictator,Comedy,tt1645170,-5349778,0.917695723076923,3,4.0,31000000.0,65000000.0,11378705.229850747
HighProducer,993,2012-11-21,Red Dawn,65000000,44806783,2012,11,Red Dawn2012,,,Beau Flynn,Red Dawn,"Action,Sci-Fi,Thriller",tt1234719,-20193217,0.6893351230769231,3,4.0,31000000.0,65000000.0,11378705.229850747
